Created On,BookingId,Product,Medium,Type,Debit,Credit,Gross Earnings,Bill Number,Available Balance,Utilization,Status,Sub-Type,Deposit Amount,Agent UserId,Payment Reference,Reason,Comments,Payment Fee,Markup,TDS,Ref. Id,Amendment Id,Logged In UserId Id,Booking User Id,Billing Date Time,Entity Code,Transaction Currency,LoggedIn username,Booking username
09-10-2024 14:46,TJ9040105613825,RAIL,Deposit,Paid For Order,2547.7,,,,47714.11,,Success,,2547.7,,0253325778,,,0,0,0,TJ9040105613825,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:01,TJ9044105615690,RAIL,Deposit,Paid For Order,2547.7,,,,45166.41,,Success,,2547.7,,7066153264,,,0,0,0,TJ9044105615690,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:06,TJ9001105616249,RAIL,Deposit,Paid For Order,2547.7,,,,42618.71,,Success,,2547.7,,4566683290,,,0,0,0,TJ9001105616249,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:10,TJ9075105616709,RAIL,Deposit,Paid For Order,2547.7,,,,40071.01,,Success,,2547.7,,3895594595,,,0,0,0,TJ9075105616709,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:29,TJ904198848052,RAIL,Deposit,Refund,,1620,,,41691.01,,Success,Topup,1620,,9297848414,,,0,0,0,TJ904198848052,TJA02104651726,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:43,TJ9097105621099,RAIL,Deposit,Paid For Order,2547.7,,,,39143.31,,Success,,2547.7,,4525081867,,,0,0,0,TJ9097105621099,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:46,TJ9075105621527,RAIL,Deposit,Paid For Order,2547.7,,,,36595.61,,Success,,2547.7,,1338120387,,,0,0,0,TJ9075105621527,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:50,TJ9080105621952,RAIL,Deposit,Paid For Order,2547.7,,,,34047.91,,Success,,2547.7,,1090923790,,,0,0,0,TJ9080105621952,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 15:56,TJ9036105622782,RAIL,Deposit,Paid For Order,2547.7,,,,31500.21,,Success,,2547.7,,5028790080,,,0,0,0,TJ9036105622782,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:00,TJ9012105623368,RAIL,Deposit,Paid For Order,2547.7,,,,28952.51,,Success,,2547.7,,6916807422,,,0,0,0,TJ9012105623368,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:05,TJ9040105624083,RAIL,Deposit,Paid For Order,2547.7,,,,26404.81,,Success,,2547.7,,0573916900,,,0,0,0,TJ9040105624083,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:12,TJ9007105624961,RAIL,Deposit,Paid For Order,2547.7,,,,23857.11,,Success,,2547.7,,5735091172,,,0,0,0,TJ9007105624961,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:16,TJ9072105625513,RAIL,Deposit,Paid For Order,2547.7,,,,21309.41,,Success,,2547.7,,3426053271,,,0,0,0,TJ9072105625513,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:21,TJ9082105626084,RAIL,Deposit,Paid For Order,2547.7,,,,18761.71,,Success,,2547.7,,7637913883,,,0,0,0,TJ9082105626084,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:26,TJ9071105626853,RAIL,Deposit,Paid For Order,867.7,,,,17894.01,,Success,,867.7,,2783481481,,,0,0,0,TJ9071105626853,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
09-10-2024 16:41,TJ9071105628726,RAIL,Deposit,Paid For Order,1107.7,,,,16786.31,,Success,,1107.7,,1535557020,,,0,0,0,TJ9071105628726,,81068428,81068428,,,,ASPIRE TOURISM INDIA PRIVATE LIMITED,ASPIRE TOURISM INDIA PRIVATE LIMITED
